catid,ra_obj,dec_obj,ra_ifu,dec_ifu,r_petro,r_auto,z_tonry,z_spec,m_r,r_e,mu_within_1re,mu_1re,mu_2re,ellip,pa,mstar,g_i,a_g,surv_sami,bad_class,sample_origin,r_on_rtwo,v_on_sigma,is_mem
623712,140.13867311,0.72105987,140.13867311,0.72105987,16.496,16.407,0.01821,0.01727,-18.08,7.37,22.75,23.46,25.27,0.0847,123.920006,9.16,0.87,0.128,8,0,GAMA,,,
93604,221.26371937,0.52697745,221.26371937,0.52697745,14.884,14.806,0.02958,0.02884,-20.77,13.57,21.59,22.3,24.12,0.5841,40.890015,10.15,0.77,0.194,8,0,GAMA,,,
485310,214.84471845,-1.78117641,214.84471845,-1.78117641,17.098,17.121,0.05644,0.05555,-19.94,2.23,20.07,20.78,22.59,0.6047,164.5,10.18,1.26,0.228,8,0,GAMA,,,
107395,219.80138396,0.94533379,219.80138396,0.94533379,16.321,16.334,0.03512,0.03434,-19.62,4.84,20.99,21.69,23.51,0.5557,77.390015,9.58,0.65,0.17,8,0,GAMA,,,
609433,175.6871286,0.28226324,175.6871286,0.28226324,16.838,16.842,0.02028,0.01834,-17.88,5.0,21.4,22.11,23.92,0.6044,88.53998,8.84,0.58,0.099,8,0,GAMA,,,
521991,131.99036326,2.88992694,131.99036326,2.88992694,16.343,16.333,0.05965,0.05861,-20.84,5.12,21.48,22.18,24.0,0.3125,41.78,10.34,1.04,0.119,8,0,GAMA,,,
599857,132.74865447,0.32537773,132.74865447,0.32537773,18.842,18.886,0.0417,0.04066,-17.43,2.46,21.85,22.56,24.37,0.6279,74.76001,8.84,0.84,0.148,3,0,GAMA,,,
229163,220.84274218,1.09811594,220.84274218,1.09811594,14.983,14.974,0.03886,0.0381,-21.24,5.2,20.22,20.92,22.74,0.3147,179.19,10.59,1.1,0.156,8,0,GAMA,,,
570194,222.59618498,-0.49144427,222.59618498,-0.49144427,18.436,18.395,0.0436,0.04286,-18.07,3.94,22.79,23.5,25.31,0.4577,105.31,8.93,0.61,0.182,3,0,GAMA,,,
136672,175.78729674,-1.63784182,175.78729674,-1.63784182,17.913,17.913,0.04433,0.04306,-18.55,5.78,22.37,23.07,24.89,0.6896,129.91,9.16,0.69,0.065,8,0,GAMA,,,
85919,184.56949029,0.55197079,184.56949029,0.55197079,17.775,17.797,0.02274,0.02114,-17.17,1.55,20.2,20.91,22.72,0.4327,90.11,8.58,0.61,0.081,8,0,GAMA,,,
512254,218.31595764,-1.14014234,218.31595764,-1.14014234,15.91,15.757,0.01514,0.01376,-18.3,12.18,21.58,22.29,24.1,0.7888,167.91,9.03,0.6,0.171,8,0,GAMA,,,
592478,213.15757029,-0.01357865,213.15757029,-0.01357865,18.287,18.296,0.03608,0.03519,-17.71,1.12,20.15,20.86,22.68,0.4117,158.75,8.65,0.43,0.169,3,0,GAMA,,,
38963,174.06175174,-0.69558115,174.06175174,-0.69558115,17.253,17.249,0.05133,0.05005,-19.53,4.23,21.43,22.14,23.96,0.5982,124.740005,9.52,0.65,0.077,3,0,GAMA,,,
298888,222.09435066,1.21211392,222.09435066,1.21211392,17.472,17.446,0.03664,0.0359,-18.59,4.94,22.47,23.18,25.0,0.4127,18.720001,8.89,0.31,0.179,3,0,GAMA,,,
137847,179.79836157,-1.70706399,179.79836157,-1.70706399,16.117,16.038,0.02208,0.02037,-18.87,5.64,21.9,22.61,24.42,0.3275,80.27002,9.16,0.49,0.121,8,0,GAMA,,,
371213,130.57762364,0.94160442,130.57762364,0.94160442,17.168,17.021,0.07766,0.07662,-20.82,3.24,21.62,22.33,24.15,0.1268,23.970001,10.48,1.2,0.17,3,0,GAMA,,,
322972,129.7926462,1.43156665,129.7926462,1.43156665,17.326,17.35,0.08241,0.08138,-20.64,4.32,20.97,21.68,23.49,0.7871,137.81,10.33,1.17,0.224,3,0,GAMA,,,
22356,177.26653378,1.07952805,177.26653378,1.07952805,17.335,17.333,0.04887,0.04761,-19.36,4.45,22.19,22.9,24.72,0.3723,134.7,9.45,0.63,0.098,3,0,GAMA,,,
