catid,observation_count,type,ra_obj,dec_obj,ra_ifu,dec_ifu,r_petro,r_auto,z_tonry,z_spec,m_r,r_e,mu_within_1re,mu_1re,mu_2re,ellip,pa,mstar,g_i,a_g,surv_sami,bad_class,sample_origin,r_on_rtwo,v_on_sigma,is_mem,flag_repeated_catid,flag_morphology_match,flag_main_input_match
9403800004,1,0.0,356.9304199,-28.1566486,,,16.985577,16.6054,,0.026964389,-18.938334,2.4437065,20.57951,21.539276,23.216845,0.21094114,52.627808,9.903342,1.4668618,,7.0,0.0,Cluster,0.02506846,-1.1647043,1.0,False,True,True
9403800005,1,0.0,356.9254761,-28.1259537,,,15.166803,14.27077,,0.029741017,-21.294773,4.913454,20.979055,22.079082,23.711884,0.17721699,108.99732,10.815976,1.3704777,,7.0,0.0,Cluster,0.02656025,0.1908159,1.0,False,True,True
9403800007,1,1.0,356.960083,-28.1523323,,,16.38462,15.352132,,0.032727662,-20.21647,3.867512,20.491854,21.651577,23.269445,0.45557776,19.131922,10.5839,1.5554934,,7.0,0.0,Cluster,0.03318077,1.6447864,1.0,False,True,True
9403800008,1,1.0,356.9386292,-28.1636257,,,15.633052,15.627196,,0.031726554,-19.945354,1.4439739,17.585766,18.771765,20.383686,0.5321945,147.71089,10.219938,1.2711735,,7.0,0.0,Cluster,0.033365194,1.1578937,1.0,False,True,True
9403800013,1,0.5,356.8982544,-28.1255093,,,15.550264,15.554439,,0.030942006,-20.017689,2.454106,19.367168,20.506655,22.129354,0.18221004,31.485374,10.201451,1.2187042,,7.0,0.0,Cluster,0.055222128,0.77599406,1.0,False,True,True
9403800016,1,1.0,356.8945312,-28.1542931,,,16.629948,16.542984,,0.032226093,-19.030777,6.8646235,21.731747,23.095297,24.675014,0.5073327,130.47948,9.736897,1.1306515,,7.0,0.0,Cluster,0.0588397,1.4009056,1.0,False,True,True
9403800017,1,0.5,356.9754333,-28.1655273,,,15.9263315,15.910901,,0.030248815,-19.660677,4.7371707,20.78838,22.196062,23.769526,0.21459591,184.4379,10.136244,1.2842455,,7.0,0.0,Cluster,0.060208373,0.43832234,1.0,False,True,True
9403800021,1,1.5,356.995575,-28.1419182,,,14.697929,14.712796,,0.024906738,-20.853865,5.86719,19.35527,20.461748,22.092833,0.65674883,122.39287,10.485468,1.1517687,,7.0,0.0,Cluster,0.07399752,-2.1715841,1.0,False,True,True
9403800022,1,-9.0,356.8756409,-28.1364231,,,16.961647,16.609472,,0.03260272,-18.964525,3.5915608,21.855715,22.920135,24.562895,0.16824321,116.94735,9.76678,1.1704521,,7.0,0.0,Cluster,0.079841755,1.584046,1.0,False,True,True
9403800023,1,0.5,356.9564209,-28.0866394,,,16.011028,16.003307,,0.03227473,-19.57027,3.6794035,20.402939,21.677847,23.272072,0.2266076,-10.863894,9.996709,1.1916074,,7.0,0.0,Cluster,0.08199289,1.4245601,1.0,False,True,True
9403800025,1,0.5,356.8825073,-28.1070728,,,14.50912,14.495664,,0.028357953,-21.073399,3.7246008,18.8885,19.974699,21.611267,0.37970456,112.63658,10.692318,1.2879122,,7.0,0.0,Cluster,0.08599288,-0.4839247,1.0,False,True,True
9403800026,1,0.0,356.8700867,-28.1405926,,,16.65739,16.493593,,0.030434081,-19.078283,1.5701218,19.662699,21.146067,22.710073,0.14571308,149.77637,9.83642,1.2199593,,7.0,0.0,Cluster,0.086714976,0.5285927,1.0,False,True,True
9403800028,1,5.0,356.9250488,-28.0808678,,,18.89614,15.124376,,0.028742153,-20.43806,2.2165322,22.12156,23.203901,24.841543,0.012515831,16.067417,10.583881,1.4812489,,7.0,0.0,Cluster,0.08835473,-0.2963981,1.0,False,True,True
9403800029,1,0.5,356.8680725,-28.1359539,,,13.56097,13.570967,,0.027748037,-21.99752,7.02491,19.151278,20.476341,22.062017,0.4100812,69.25477,11.058837,1.283556,,7.0,0.0,Cluster,0.08955735,-0.7817656,1.0,False,True,True
9403800032,1,1.0,356.9564819,-28.2036457,,,15.706713,15.702714,,0.03192187,-19.870533,4.39474,20.438889,21.718988,23.312284,0.2997258,99.27714,10.138829,1.2108355,,7.0,0.0,Cluster,0.09453797,1.2529241,1.0,False,True,True
9403800035,1,0.0,356.8690186,-28.1092262,,,12.796951,12.808245,,0.027445797,-22.760138,15.989826,20.393507,21.81217,23.384167,0.19099501,134.0764,11.339975,1.257865,,7.0,0.0,Cluster,0.099220365,-0.9294243,1.0,False,True,True
9403800044,1,3.0,356.8731689,-28.1999702,,,16.802814,16.751936,,0.027028626,-18.81694,2.504676,19.569883,20.48109,22.178213,0.68606836,136.72766,9.663007,1.1420536,,7.0,0.0,Cluster,0.11943474,-1.1333032,1.0,False,True,True
9403800045,1,1.0,357.0213318,-28.1775436,,,15.885615,15.880466,,0.027832394,-19.689161,3.8301198,20.276033,21.390062,23.019173,0.3381489,41.784756,10.025369,1.1561728,,7.0,0.0,Cluster,0.11960195,-0.74056077,1.0,False,True,True
9403800047,1,0.0,356.8468933,-28.1190262,,,14.845767,14.82346,,0.03258391,-20.749876,5.0978665,19.963614,21.392132,22.96284,0.19933133,134.99979,10.524509,1.2581453,,7.0,0.0,Cluster,0.12059089,1.5749015,1.0,False,True,True
